Facility Name,Building Name,Year Built,Priority Level,GradeCategory,PhysicalAddress,Latitude,Longitude,County,Notes
A.J. West Elementary School,1952 Building,,Moderate,Elementary School,"1801 Bay Ave., Aberdeen, Washington, 98520-5510",46.972095,-123.838079,Grays Harbor,
A.J. West Elementary School,Annex Building,1966,Moderate,Elementary School,"1801 Bay Ave., Aberdeen, Washington, 98520-5510",46.972095,-123.838079,Grays Harbor,
Acme Elementary School,Main Building,,Very High,Elementary School,"5200 TURKINGTON RD, ACME, Washington, 98220-0000",48.71887,-122.208829,Whatcom,
Adams Elementary School,Gym and Cafeteria Building,,High,Elementary School,"2909-E 37 Ave, Spokane, Washington, 99223-4500",47.619724,-117.365347,Spokane,
Adams Elementary School,Main Building,,High,Elementary School,"2909-E 37 Ave, Spokane, Washington, 99223-4500",47.619724,-117.365347,Spokane,
Adams Elementary School,8 Plex Bldg D,,High,Elementary School,"723 S 8th St, Yakima, Washington, 98901-3322",46.594966,-120.490508,Yakima,
Adams Elementary School,BLDG C-1,,High,Elementary School,"723 S 8th St, Yakima, Washington, 98901-3322",46.594966,-120.490508,Yakima,
Adams Elementary School,Old Gym C,,High,Elementary School,"723 S 8th St, Yakima, Washington, 98901-3322",46.594966,-120.490508,Yakima,
Audubon Elementary School,Main Building,,Lower,Elementary School,"2020 W Carlisle Ave, Spokane, Washington, 99205-3794",47.680031,-117.442181,Spokane,
Bainbridge High School,500 Building,1981,High,High School,"9330 NE High School RD, Bainbridge Island, Washington, 98110-3695",47.636355,-122.524072,Kitsap,
Bainbridge High School,300 Building,1981,Lower,High School,"9330 NE High School RD, Bainbridge Island, Washington, 98110-3695",47.636355,-122.524072,Kitsap,
Bancroft (The Community School),Main Building,,High,High School,"1025 W Spofford Ave, Spokane, Washington, 99205",47.671642,-117.427892,Spokane,
Beach Elementary,Main Building,,Very High,Elementary School,"4101 Academy St, Bellingham, Washington, 98226-4443",48.768392,-122.416925,Whatcom,
Beaver Valley School,Old Winton School House,1916,High,Elementary School,"19265 Beaver Valley Rd, Leavenworth, Washington, 98826-0000",47.769747,-120.665182,Chelan,
Beaver Valley School,Main Building,2000,Lower,Elementary School,"19265 Beaver Valley Rd, Leavenworth, Washington, 98826-0000",47.769747,-120.665182,Chelan,
Belfair Elementary School,Gymnasium Building,,High,Elementary School,"NE 22900 Hwy 3, Belfair, Washington, 98528-0000",47.438887,-122.833908,Mason,
Belfair Elementary School,Main Building,,High,Elementary School,"NE 22900 Hwy 3, Belfair, Washington, 98528-0000",47.438887,-122.833908,Mason,
Beverly Park @ Glendale Elementary School,Main Building A,,High,Elementary School,"1201 S 104th St, Seattle, Washington, 98168-1549",47.509618,-122.317571,King,
Beverly Park @ Glendale Elementary School,Multi-Purpose Building B,,High,Elementary School,"1201 S 104th St, Seattle, Washington, 98168-1549",47.509618,-122.317571,King,
Bickleton Elementary and High School,Bldg B -,,Moderate,K-12,"3626 Bickleton Highway, Bickleton, Washington, 99322",45.998617,-120.293366,Klickitat,
Bickleton Elementary and High School,Main Building,,Lower,K-12,"3626 Bickleton Highway, Bickleton, Washington, 99322",45.998617,-120.293366,Klickitat,
Black Lake Elementary School,Building A,,Lower,Elementary School,"6345 Belmore-Black Lake Road, Olympia, Washington, 98512-0000",46.991146,-122.967266,Thurston,
Black Lake Elementary School,Building B,,Lower,Elementary School,"6345 Belmore-Black Lake Road, Olympia, Washington, 98512-0000",46.991146,-122.967266,Thurston,
Black Lake Elementary School,Building C,,Lower,Elementary School,"6345 Belmore-Black Lake Road, Olympia, Washington, 98512-0000",46.991146,-122.967266,Thurston,
Blue Heron Middle School,Main Building,,Lower,Middle School,"3939 San Juan Ave, Port Townsend, Washington, 98368-3323",48.129029,-122.779101,Jefferson,
Boistfort Elementary,Gymnasium Building,,Very High,Other,"983 Boistfort Road, Curtis, Washington, 98538-9734",46.550188,-123.133132,Lewis,
Boistfort Elementary,Main Building,,Very High,Other,"983 Boistfort Road, Curtis, Washington, 98538-9734",46.550188,-123.133132,Lewis,
Boston Harbor Elementary School,Main Building,,Lower,Elementary School,"7300 ZANGLE RD NE, OLYMPIA, Washington, 98506-9799",47.134902,-122.885313,Thurston,
Brigadoon Elementary School,Main Office Building - E,,Moderate,Elementary School,"3601 SW 336th ST, Federal Way, Washington, 98023-2929",47.299887,-122.378227,King,
Brigadoon Elementary School,Multipurpose Building - C,,Moderate,Elementary School,"3601 SW 336th ST, Federal Way, Washington, 98023-2929",47.299887,-122.378227,King,
Brinnon Elementary School,Main Building,1952,High,Other,"46 SCHOOLHOUSE RD, BRINNON, Washington, 98320",47.697345,-122.903223,Jefferson,
Bryant Center,Main Building,,High,PK-12,"N 910 Ash St, Spokane, Washington, 99201-1811",47.66532,-117.436395,Spokane,
Burlington-Edison High School,Art/Tiger TUB Building,1958,Very High,High School,"301 N BURLINGTON BLVD, BURLINGTON, Washington, 98233-1199",48.478232,-122.337411,Skagit,
Burlington-Edison High School,Cafeteria and 400 Wing,1970,Very High,High School,"301 N BURLINGTON BLVD, BURLINGTON, Washington, 98233-1199",48.478232,-122.337411,Skagit,
Burlington-Edison High School,CTE,1964,Very High,High School,"301 N BURLINGTON BLVD, BURLINGTON, Washington, 98233-1199",48.478232,-122.337411,Skagit,
Burlington-Edison High School,Fieldhouse 1953 and 1975,1953,Very High,High School,"301 N BURLINGTON BLVD, BURLINGTON, Washington, 98233-1199",48.478232,-122.337411,Skagit,
Burlington-Edison High School,500 Wing,1974,High,High School,"301 N BURLINGTON BLVD, BURLINGTON, Washington, 98233-1199",48.478232,-122.337411,Skagit,
Burlington-Edison High School,Admin/Classroom Building,1974,High,High School,"301 N BURLINGTON BLVD, BURLINGTON, Washington, 98233-1199",48.478232,-122.337411,Skagit,
Camas Prairie Elementary School,Main Building,1987,Lower,Elementary School,"320  176th Street East, Spanaway, Washington, 98387-8322",47.096377,-122.427391,Pierce,
Camelot Elementary School,Main Building,,High,Elementary School,"4041 S 298TH, AUBURN, Washington, 98001-1581",47.334289,-122.284249,King,
Canyon Creek Elementary School,Building A -,,High,Elementary School,"21400 35 AV SE, Bothell, Washington, 98021-7832",47.804855,-122.18782,Snohomish,
Canyon Creek Elementary School,Building C - Cafeteria/Gym,,High,Elementary School,"21400 35 AV SE, Bothell, Washington, 98021-7832",47.804855,-122.18782,Snohomish,
Carbonado Historical School 19,A - Main Building,,Very High,Other,"427 4th St, Carbonado, Washington, 98323-0000",47.081336,-122.054197,Pierce,
Carbonado Historical School 19,B - Community Gym,,High,Other,"427 4th St, Carbonado, Washington, 98323-0000",47.081336,-122.054197,Pierce,
Carbonado Historical School 19,Computer Lab and Library,,Lower,Other,"427 4th St, Carbonado, Washington, 98323-0000",47.081336,-122.054197,Pierce,
Carrolls Elementary School,Main Building,,Very High,Elementary School,"3902 Old Pacific Hwy S, Kelso, Washington, 98626-0000",46.070228,-122.866239,Cowlitz,
Carson Elementary School,Main Building,,High,Elementary School,"351 Hot Springs Avenue, Carson, Washington, 98610-0000",45.726487,-121.813218,Skamania,
Cascade Elementary School,Unit A,,High,Elementary School,"5200 100th St NE, Marysville, Washington, 98270-3498",48.085215,-122.160611,Snohomish,
Cascade Elementary School,Unit B,,High,Elementary School,"5200 100th St NE, Marysville, Washington, 98270-3498",48.085215,-122.160611,Snohomish,
Cascade Elementary School,Unit C,,High,Elementary School,"5200 100th St NE, Marysville, Washington, 98270-3498",48.085215,-122.160611,Snohomish,
Cascade Elementary School,Unit D,,High,Elementary School,"5200 100th St NE, Marysville, Washington, 98270-3498",48.085215,-122.160611,Snohomish,
Cathcart Elementary School,100 Building,,Very High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Cathcart Elementary School,200 Building,,High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Cathcart Elementary School,300 Building,,High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Cathcart Elementary School,400 Building,,High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Cathcart Elementary School,500 Building,,High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Cathcart Elementary School,600 Building,,High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Cathcart Elementary School,700 Building,,High,Elementary School,"8201 188th St SE, Snohomish, Washington, 98296-0000",47.827184,-122.121987,Snohomish,
Centerville Elementary School,Main Building,,Very High,Other,"2315 Centerville Hwy, Centerville, Washington, 98613-3021",45.752481,-120.899809,Klickitat,
Central Elementary School,Main Building,,Very High,Elementary School,"221 Union Avenue, Snohomish, Washington, 98290-0000",47.914202,-122.092358,Snohomish,
Central Elementary School,Main Building - Gym,,Very High,Elementary School,"221 Union Avenue, Snohomish, Washington, 98290-0000",47.914202,-122.092358,Snohomish,
Central Elementary School,Main Building - Gym,,Very High,Elementary School,"221 Union Avenue, Snohomish, Washington, 98290-0000",47.914202,-122.092358,Snohomish,
Central Elementary School,Main Building,,Very High,Elementary School,"221 Union Avenue, Snohomish, Washington, 98290-0000",47.914202,-122.092358,Snohomish,
Central Elementary School,Main Building,,High,Elementary School,"5610 Second Avenue, Ferndale, Washington, 98248-0068",48.8453,-122.591865,Whatcom,
Central Park Elementary School,Annex Building,1966,Moderate,Elementary School,"601 School Road, Aberdeen, Washington, 98520-7999",46.96757,-123.697697,Grays Harbor,
Central Park Elementary School,Main Building,1956,Moderate,Elementary School,"601 School Road, Aberdeen, Washington, 98520-7999",46.96757,-123.697697,Grays Harbor,
Centralia Middle School,Classroom Wings,,High,Middle School,"901 Johnson Road, Centralia, Washington, 98531-1429",46.726099,-122.982689,Lewis,
Centralia Middle School,Gym Wing,,High,Middle School,"901 Johnson Road, Centralia, Washington, 98531-1429",46.726099,-122.982689,Lewis,
Centralia Middle School,Main Building,1958,High,Middle School,"901 Johnson Road, Centralia, Washington, 98531-1429",46.726099,-122.982689,Lewis,
Chattaroy Elementary School,35 Wing Building,,High,Elementary School,"25717 N. Yale Rd., Chattaroy, Washington, 99003-9643",47.892277,-117.358531,Spokane,
Chattaroy Elementary School,Main Building,,Lower,Elementary School,"25717 N. Yale Rd., Chattaroy, Washington, 99003-9643",47.892277,-117.358531,Spokane,
Chimacum High School ,High School 100 Bldg A - North,,Moderate,Other,"91 West Valley Rd, Chimacum, Washington, 98325-0000",48.012446,-122.778205,Jefferson,"""High School 100 A building"" 1980, from age doc"
Chimacum High School ,High School 100 Bldg A - South,,Moderate,Other,"91 West Valley Rd, Chimacum, Washington, 98325-0000",48.012446,-122.778205,Jefferson,"""High School 100 A building"" 1980, from age doc"
Chimacum Middle School,Middle School Bldg 200,1991,Lower,Elementary School,"91 West Valley Rd, Chimacum, Washington, 98325-0000",48.011932,-122.776993,Jefferson,
Chimacum Middle School ,Middle School Bldg 100 B,1959,High,Elementary School,"91 West Valley Rd, Chimacum, Washington, 98325-0000",48.011932,-122.776993,Jefferson,
Chinook Middle School,100 Building,,High,Middle School,"18650 42nd Ave S, SeaTac, Washington, 98188-5012",47.435258,-122.280379,King,
Chinook Middle School,200 Building,,High,Middle School,"18650 42nd Ave S, SeaTac, Washington, 98188-5012",47.435258,-122.280379,King,
Chinook Middle School,300 Building - Gymnasium,,High,Middle School,"18650 42nd Ave S, SeaTac, Washington, 98188-5012",47.435258,-122.280379,King,
Chinook Middle School,400 Building - Cafeteria,,High,Middle School,"18650 42nd Ave S, SeaTac, Washington, 98188-5012",47.435258,-122.280379,King,
Chinook Middle School,800 Building,,High,Middle School,"18650 42nd Ave S, SeaTac, Washington, 98188-5012",47.435258,-122.280379,King,
Clallam Bay High and Elementary School,High School Building,,Very High,K-12,"16-933 HWY 112, Clallam Bay, Washington, 98326-0337",48.252156,-124.258796,Clallam,
Clallam Bay High and Elementary School,Big Gym,,High,K-12,"16-933 HWY 112, Clallam Bay, Washington, 98326-0337",48.252156,-124.258796,Clallam,
Clallam Bay High and Elementary School,Elementary Building,,High,K-12,"16-933 HWY 112, Clallam Bay, Washington, 98326-0337",48.252156,-124.258796,Clallam,
Clallam Bay High and Elementary School,Elementary Gym,,High,K-12,"16-933 HWY 112, Clallam Bay, Washington, 98326-0337",48.252156,-124.258796,Clallam,
Clallam Bay High and Elementary School,Shop and Art Building,,High,K-12,"16-933 HWY 112, Clallam Bay, Washington, 98326-0337",48.252156,-124.258796,Clallam,
Columbia Elementary School,Main Building,,High,Elementary School,"600 Bozarth Ave, Woodland, Washington, 98674",45.90274868,-122.7533073,Cowlitz,
Columbia Elementary School,1991 Addition,,Moderate,Elementary School,"600 Bozarth Ave, Woodland, Washington, 98674",45.90274868,-122.7533073,Cowlitz,
Columbia High School,C Court - Gym,,High,High School,"1455 NW BRUIN COUNTRY RD, WHITE SALMON, Washington, 98672-0000",45.74162002,-121.494161,Klickitat,
Columbia High School,Library,,High,High School,"1455 NW BRUIN COUNTRY RD, WHITE SALMON, Washington, 98672-0000",45.74162002,-121.494161,Klickitat,
Columbia High School,Metal /Wood Shop,,High,High School,"1455 NW BRUIN COUNTRY RD, WHITE SALMON, Washington, 98672-0000",45.74162002,-121.494161,Klickitat,
Columbia Junior High School,Main Building,,Lower,High School,"2901 54th Avenue E, Tacoma, Washington, 98424-2110",47.231085,-122.355123,Pierce,
Concrete High School,Main Building,,High,Other,"7830 S. Superior Avenue, Concrete, Washington, 98237-9340",48.5319712,-121.7583597,Skagit,
Concrete High School,Tech Building,,High,Other,"7830 S. Superior Avenue, Concrete, Washington, 98237-9340",48.5319712,-121.7583597,Skagit,
Concrete K-6 School,Gym,,Moderate,Elementary School,"7838 S. Superior Ave, Concrete, Washington, 98237-9340",48.532137,-121.763344,Skagit,
Concrete K-6 School,Main Building,,Moderate,Elementary School,"7838 S. Superior Ave, Concrete, Washington, 98237-9340",48.532137,-121.763344,Skagit,
Cosmopolis Elementary School,Auditorium Building,,High,Elementary School,"1439 Fourth Street, Cosmopolis, Washington, 98537-0479",46.952836,-123.771705,Grays Harbor,
Cosmopolis Elementary School,Main Building,,High,Elementary School,"1439 Fourth Street, Cosmopolis, Washington, 98537-0479",46.952836,-123.771705,Grays Harbor,
Cosmopolis Elementary School,Multipurpose Building,,High,Elementary School,"1439 Fourth Street, Cosmopolis, Washington, 98537-0479",46.952836,-123.771705,Grays Harbor,
Cosmopolis Elementary School,Gymnasium Building,,Moderate,Elementary School,"1439 Fourth Street, Cosmopolis, Washington, 98537-0479",46.952836,-123.771705,Grays Harbor,
Cottonwood Elementary School,Gym,,High,Elementary School,"6 South Main Street, Coupeville, Washington, 98239",48.211439,-122.688176,Island,"""Main Building 1976"" in age doc"
Coupeville Elementary School,Cedar Pod,,High,Elementary School,"6 South Main Street, Coupeville, Washington, 98239",48.211439,-122.688176,Island,
Coupeville Elementary School,Main,,Moderate,Elementary School,"6 South Main Street, Coupeville, Washington, 98239",48.211439,-122.688176,Island,
Coupeville Elementary School,Multipurpose,,Moderate,Elementary School,"6 South Main Street, Coupeville, Washington, 98239",48.211439,-122.688176,Island,
Coupeville High School,Annex,,Moderate,High School,"501 South Main Street, Coupeville, Washington, 98239-3516",48.206611,-122.684439,Island,
Coupeville High School,Gymnasium,,Lower,High School,"501 South Main Street, Coupeville, Washington, 98239-3516",48.206611,-122.684439,Island,
Coupeville Middle School ,Middle and High School,,Lower,Middle School,"501 South Main Street, Coupeville, Washington, 98239-3516",48.206611,-122.684439,Island,
Coweeman Middle School,Main Building,,High,Middle School,"2000 Allen St, Kelso, Washington, 98626-0000",46.143833,-122.888665,Cowlitz,
Creston Junior Senior High School,Creston K-12 School,,Lower,Other,"485 SE E Street, Creston, Washington, 99117-0017",47.754947,-118.520136,Lincoln,
Crossroads High School (form. MS),Main Building,,High,High School,"205 North Alder Avenue, Granite Falls, Washington, 98252",48.08498178,-121.9633853,Snohomish,
Crystal Springs Elementary School,Building 1 - Admin,,High,Elementary School,"21615 9 AV SE, Bothell, Washington, 98021-7609",47.801187,-122.220097,Snohomish,
Crystal Springs Elementary School,Building 2 - Classrooms/Kitchen,,High,Elementary School,"21615 9 AV SE, Bothell, Washington, 98021-7609",47.801187,-122.220097,Snohomish,
Crystal Springs Elementary School,Building 3/4 - Classrooms,,High,Elementary School,"21615 9 AV SE, Bothell, Washington, 98021-7609",47.801187,-122.220097,Snohomish,
Crystal Springs Elementary School,Building 5 - Classrooms,,High,Elementary School,"21615 9 AV SE, Bothell, Washington, 98021-7609",47.801187,-122.220097,Snohomish,
Curtis Senior High School,500 Building,,High,High School,"8425 40TH W, UNIVERSITY PLACE, Washington, 98466-0000",47.22157,-122.549469,Pierce,
Custer Elementary,Main Building,,Very High,Elementary School,"7660 Custer School Road, Custer, Washington, 98240-0125",48.919163,-122.63736,Whatcom,
Custer Elementary School,Second Classroom Building,1952,High,Elementary School,"7801 Steilacoom Blvd SW, Lakewood, Washington, 98498-6198",47.180593,-122.540918,Pierce,
Custer Elementary School,Library,1992,Lower,Elementary School,"7801 Steilacoom Blvd SW, Lakewood, Washington, 98498-6198",47.180593,-122.540918,Pierce,
Darrington Elementary School,Main Elementary School,,Lower,Other,"1075 FIR STREET, DARRINGTON, Washington, 98241-0027",48.247292,-121.602772,Snohomish,
Darrington Senior High School,Darrington High School,,High,High School,"1085 FIR STREET, DARRINGTON, Washington, 98241-0027",48.247782,-121.603262,Snohomish,
Darrington Senior High School,Woodshop,,High,High School,"1085 FIR STREET, DARRINGTON, Washington, 98241-0027",48.247782,-121.603262,Snohomish,
Dayton High School,Ag Shop,,High,High School,"614 S Third Street, Dayton, Washington, 99328-1599",46.3158903,-117.9737616,Columbia,
Dayton High School,High School Building,,High,High School,"614 S Third Street, Dayton, Washington, 99328-1599",46.3158903,-117.9737616,Columbia,
Dayton High School,Wood Shop,,High,High School,"614 S Third Street, Dayton, Washington, 99328-1599",46.3158903,-117.9737616,Columbia,
Dayton High School,Gymnasium,,Moderate,High School,"614 S Third Street, Dayton, Washington, 99328-1599",46.3158903,-117.9737616,Columbia,
Dayton K-8 School ,Elementary and Middle School,,Moderate,Elementary School,"302 E Park, Dayton, Washington, 99328-1596",46.316928,-117.975231,Columbia,
DeLong Elementary School,Original Bldg-Bldg A,,High,Elementary School,"4901 S 14 st St, Tacoma, Washington, 98405-0000",47.249053,-122.501912,Pierce,
DeLong Elementary School,First Bldg-Bldg B,,Moderate,Elementary School,"4901 S 14 st St, Tacoma, Washington, 98405-0000",47.249053,-122.501912,Pierce,
Dickinson Elementary School,Main Building,,Lower,Elementary School,"7040 - 208th NE, Redmond, Washington, 98053-4716",47.670093,-122.060042,King,
Discovery Elementary School,Main Building,,High,Elementary School,"4905 Rosedale St NW, Gig Harbor, Washington, 98335-1862",47.331835,-122.603795,Pierce,
Dixie Elementary School,Main Building,,High,Elementary School,"10520 E. Hwy. 12, DIXIE, Washington, 99329-0040",46.141876,-118.149751,Walla Walla,
Dorothy Fox Elementary School,Main Building,1982,Moderate,Elementary School,"2623 NW Sierra St, Camas, Washington, 98607-9397",45.598526,-122.430589,Clark,
East Valley Central Middle School,Gymnasium Building,,High,Middle School,"2010 BEAUDRY RD, YAKIMA, Washington, 98901-8082",46.572516,-120.40485,Yakima,
East Valley Central Middle School,6th Grade Building,,Lower,Middle School,"2010 BEAUDRY RD, YAKIMA, Washington, 98901-8082",46.572516,-120.40485,Yakima,
East Valley Central Middle School,Computer Lab Building,,Lower,Middle School,"2010 BEAUDRY RD, YAKIMA, Washington, 98901-8082",46.572516,-120.40485,Yakima,
