Facility Name,Building Name,Year Built,Priority Level,GradeCategory,PhysicalAddress,Latitude,Longitude,County,Notes
Marysville Middle School,Building B,,Moderate,Middle School,"4923 67th St NE, Marysville, Washington, 98270-4452",48.058804,-122.164393,Snohomish,
Marysville Middle School,Main Building,,High,Middle School,"4923 67th St NE, Marysville, Washington, 98270-4452",48.058804,-122.164393,Snohomish,
Marysville Pilchuck Senior High School,Physical Science Building -,,Lower,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Senior High School,South Building - Bldg N,,Lower,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Auditorium - Bldg K,,Very High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Library - Bldg J,,Very High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Pool Building - Bldg L,,Very High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Arts and Crafts Building - Bldg,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Business Ed and Home,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,East Building - Bldg H,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Gym & New Food Commons -,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Life Science Building - Bldg F,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Mech Plant and Former,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
Marysville Pilchuck Sr High School,Occupational Center - Bldg A,,High,High School,"5611 108th Street NE, Marysville, Washington, 98271",48.096374,-122.154846,Snohomish,
McDermoth Elementary School,Main Building,1926,Very High,Elementary School,"409 North K St, Aberdeen, Washington, 98520-3928",46.977055,-123.823381,Grays Harbor,
Meeker Elementary School,Main Building,,High,Elementary School,"409 5th St SW, Puyallup, Washington, 98371-5826",47.188452,-122.298369,Pierce,
Methow Valley Elementary School,Main Building,,High,Elementary School,"18 Twin Lakes Rd., Winthrop, Washington, 98862-9713",48.440863,-120.166558,Okanogan,
Mint Valley Elementary School,Building A - 1,,High,Elementary School,"2745 38th Avenue, Longview, Washington, 98632-4721",46.166045,-122.974174,Cowlitz,
Mint Valley Elementary School,Building B - 2,,High,Elementary School,"2745 38th Avenue, Longview, Washington, 98632-4721",46.166045,-122.974174,Cowlitz,
Mint Valley Elementary School,Building D - 4,,High,Elementary School,"2745 38th Avenue, Longview, Washington, 98632-4721",46.166045,-122.974174,Cowlitz,
Minter Creek Elementary School,Main Building,,Lower,Elementary School,"12617 118th Ave NW, Gig Harbor, Washington, 98329-5492",47.372582,-122.692965,Pierce,
Morton Elementary School,Main Building,,Very High,Elementary School,"400 W MAIN AVE, MORTON, Washington, 98356-0060",46.558452,-122.279009,Lewis,
Morton Elementary School,Gymnasium,,Lower,Elementary School,"400 W MAIN AVE, MORTON, Washington, 98356-0060",46.558452,-122.279009,Lewis,
Morton Junior Senior High School,Gymnasium,,High,Other,"152 WESTLAKE AVE, MORTON, Washington, 98356-0030",46.552775,-122.272635,Lewis,
Morton Junior Senior High School,Main Building,,High,Other,"152 WESTLAKE AVE, MORTON, Washington, 98356-0030",46.552775,-122.272635,Lewis,
Morton Junior Senior High School,Shop,,High,Other,"152 WESTLAKE AVE, MORTON, Washington, 98356-0030",46.552775,-122.272635,Lewis,
Mount Baker Jr High School,200 Building - JHS,,Lower,Middle School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Jr High School ,Pro-Rate Portion of Commons - Bldgg 100,,Lower,Middle School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Jr High School ,300 South,,Lower,Middle School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Senior High School,Field House,,Very High,High School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Senior High School,800 Building (Former Deming,,Moderate,High School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Sr High School,700 Building,,Lower,High School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Sr High School,Pro-rate Portion of,,Lower,High School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Baker Sr High School ,300 North,,Lower,High School,"4936 DEMING RD, DEMING, Washington, 98244-0095",48.825732,-122.221104,Whatcom,
Mount Erie Elementary School,1955 Original Main Building,1955,Very High,Elementary School,"1313 41st Street, Anacortes, Washington, 98221-3599",48.48722,-122.618544,Skagit,
Mountain Meadow Elementary School,Main Building,,Lower,Elementary School,"11812 Mundy Loss Rd, Buckley, Washington, 98321-9332",47.150548,-122.060216,Pierce,
Mountain Way Elementary School,Main Building,,Moderate,Elementary School,"702 N. Granite Ave, Granite Falls, Washington, 98252-9808",48.089653,-121.970567,Snohomish,
Mt View Elementary School,Multipurpose Building,,High,Elementary School,"3411 119th Ave E, Edgewood, Washington, 98372-2017",47.226055,-122.271366,Pierce,
Mt View Elementary School,Main Building,,Moderate,Elementary School,"3411 119th Ave E, Edgewood, Washington, 98372-2017",47.226055,-122.271366,Pierce,
Mt. Solo Middle School,Main Building,,Lower,Middle School,"5300 Mt. Solo Road, Longview, Washington, 98632",46.164537,-123.020244,Cowlitz,
Naches Valley High School,Gym Building,,Moderate,High School,"101 W. Fifth Street, Naches, Washington, 98937-0000",46.73627,-120.70299,Yakima,
Naches Valley High School,Main Building,,Moderate,High School,"101 W. Fifth Street, Naches, Washington, 98937-0000",46.73627,-120.70299,Yakima,
Naches Valley High School,Vocational Building,,Moderate,High School,"101 W. Fifth Street, Naches, Washington, 98937-0000",46.73627,-120.70299,Yakima,
Naches Valley Middle School,Main Building,,Lower,Middle School,"32 Shafer Avenue, Naches, Washington, 98937-0000",46.729225,-120.696831,Yakima,
Napavine Elementary School,Main Building,,High,Elementary School,"209 E. Park Street, Napavine, Washington, 98565-0000",46.57844386,-122.9057002,Lewis,
Napavine Junior Senior High School,Annex,,High,Other,"404 4th Ave NE, Napavine, Washington, 98565-0000",46.57718197,-122.9039882,Lewis,
Napavine Junior Senior High School,Main,,High,Other,"404 4th Ave NE, Napavine, Washington, 98565-0000",46.57718197,-122.9039882,Lewis,
Naselle K-12 School,Administration/Misc. Building,,High,Elementary School,"793 SR 4, NASELLE, Washington, 98638-0000",46.376701,-123.802208,Pacific,
Naselle K-12 School,Elementary,,High,Elementary School,"793 SR 4, NASELLE, Washington, 98638-0000",46.376701,-123.802208,Pacific,
Nautilus K-8 School,Multipurpose Rm Bldg,,Lower,Other,"1000 S 289TH ST, FEDERAL WAY, Washington, 98003-8256",47.342595,-122.322275,King,
Nautilus K-8 School,Rooms 15-20 Bldg,,Lower,Other,"1000 S 289TH ST, FEDERAL WAY, Washington, 98003-8256",47.342595,-122.322275,King,
Nautilus K-8 School,Rooms 1-6 Bldg,,Lower,Other,"1000 S 289TH ST, FEDERAL WAY, Washington, 98003-8256",47.342595,-122.322275,King,
Nautilus K-8 School,Rooms 22-25 Bldg,,Lower,Other,"1000 S 289TH ST, FEDERAL WAY, Washington, 98003-8256",47.342595,-122.322275,King,
Nautilus K-8 School,Rooms 7-14 Bldg,,Lower,Other,"1000 S 289TH ST, FEDERAL WAY, Washington, 98003-8256",47.342595,-122.322275,King,
Neah Bay Elementary School,Elementary School,,Very High,Elementary School,"3560 Deer Street, Neah Bay, Washington, 98357-0000",48.363481,-124.622752,Clallam,
Neah Bay Jr/ Sr High School,Neah Bay High School,,High,Other,"3560 Deer Street, Neah Bay, Washington, 98357-0086",48.363481,-124.622752,Clallam,
Neah Bay Jr/ Sr High School,Neah Bay High School Shop,,High,Other,"3560 Deer Street, Neah Bay, Washington, 98357-0086",48.363481,-124.622752,Clallam,
Neah Bay Junior/ Senior High School,Neah Bay High School Gym,,Very High,Other,"3560 Deer Street, Neah Bay, Washington, 98357-0086",48.363481,-124.622752,Clallam,
Neah Bay Junior/ Senior High School,Neah Bay Middle School &,,Lower,Other,"3560 Deer Street, Neah Bay, Washington, 98357-0086",48.363481,-124.622752,Clallam,
Newport High School,Main Building,,Lower,High School,"1400 W. 5th Street, Newport, Washington, 99156-0070",48.177055,-117.061932,Pend Oreille,
Nob Hill Elementary School,Main Building,,High,Elementary School,"801 S 34th Ave, Yakima, Washington, 98902-3999",46.589721,-120.553538,Yakima,
North Beach Junior/Senior High School,Main Building,,High,Middle School,"336 State Route 109, Ocean Shores, Washington, 98569-0000",47.019282,-124.158221,Grays Harbor,
North River School,Elementary,,High,High School,"336 State Route 115, Ocean Shores, Washington, 98569-0000",47.019282,-124.158221,Grays Harbor,
North River School,Gym Home Ec-Cafeteria,,High,PK-12,"2867 North River Rd, Cosmopolis, Washington, 98537-0000",46.775711,-123.483708,Pacific,
North River School,Talley Building (Music/Art),,High,PK-12,"2867 North River Rd, Cosmopolis, Washington, 98537-0000",46.775711,-123.483708,Pacific,
North River School ,High School & Admin,,High,PK-12,"2867 North River Rd, Cosmopolis, Washington, 98537-0000",46.775711,-123.483708,Pacific,
North Tapps Middle School,Main Building,1992,Lower,Middle School,"20029 12th Street E., Lake Tapps, Washington, 98391-9369",47.248796,-122.161158,Pierce,
Northeast Tacoma Elementary School,Gym Bldg-Bldg 2,,Lower,Elementary School,"5412 29th St Ne, Tacoma, Washington, 98422-0000",47.28195,-122.374658,Pierce,
Northeast Tacoma Elementary School,Main Bldg-Bldg 1,,Lower,Elementary School,"5412 29th St Ne, Tacoma, Washington, 98422-0000",47.28195,-122.374658,Pierce,
Northlake Elementary School,Main Building,,High,Elementary School,"2210 Olympia Way, Longview, Washington, 98632-4505",46.145142,-122.943949,Cowlitz,
Oak Harbor Middle School,Band Building,,High,Elementary School,"2210 Olympia Way, Longview, Washington, 98632-4505",46.145142,-122.943949,Cowlitz,
Oak Harbor Middle School,C Wing - Cafeteria,,High,Middle School,"67 NE Izett St., Oak Harbor, Washington, 98277-0000",48.299418,-122.647982,Island,
Oak Harbor Middle School,D Wing,,High,Middle School,"67 NE Izett St., Oak Harbor, Washington, 98277-0000",48.299418,-122.647982,Island,
Oak Harbor Middle School,C Wing,,Moderate,Middle School,"67 NE Izett St., Oak Harbor, Washington, 98277-0000",48.299418,-122.647982,Island,
Oak Harbor Middle School,Gym,,Moderate,Middle School,"67 NE Izett St., Oak Harbor, Washington, 98277-0000",48.299418,-122.647982,Island,
Oak Harbor Middle School,Main Building A,,Moderate,Middle School,"67 NE Izett St., Oak Harbor, Washington, 98277-0000",48.299418,-122.647982,Island,
Oak Harbor Middle School,Building B,,Lower,Middle School,"67 NE Izett St., Oak Harbor, Washington, 98277-0000",48.299418,-122.647982,Island,
Oakbrook Elementary School,First Classroom Building,1970,High,Elementary School,"7802 83rd AVE SW, Lakewood, Washington, 98498-6299",47.186107,-122.548545,Pierce,
Oakbrook Elementary School,Gym / MPR,1970,High,Elementary School,"7802 83rd AVE SW, Lakewood, Washington, 98498-6299",47.186107,-122.548545,Pierce,
Oakland High School,Main Building,,Very High,High School,"3319 S Adams St, Tacoma, Washington, 98409-0000",47.2305307,-122.4857596,Pierce,
Oakview Elementary School,Main Building,1928,High,Elementary School,"201 Oakview Avenue, Centralia, Washington, 98531-3498",46.742835,-122.951454,Lewis,
Ocean Park Elementary School,Main Building,,Lower,Elementary School,"25701 Vernon Ave, OCEAN PARK, Washington, 98640-0000",46.488549,-124.050687,Pacific,
Ocosta Elementary School,Primary Addition,,Lower,Elementary School,"2580 S Montesano St, Westport, Washington, 98595-9746",46.86221532,-124.0998357,Grays Harbor,
Ocosta Junior Senior High School,Junior Senior High,,Moderate,Other,"2580 S Montesano St, Westport, Washington, 98595-9746",46.8644132,-124.1009528,Grays Harbor,
Olympic Elementary School,Annex Building,,High,Elementary School,"1324 30th Avenue, Longview, Washington, 98632-2799",46.139277,-122.961864,Cowlitz,
Olympic Elementary School,Main Building,,High,Elementary School,"1324 30th Avenue, Longview, Washington, 98632-2799",46.139277,-122.961864,Cowlitz,
Olympic Elementary School,Multipurpose Building,,High,Elementary School,"1324 30th Avenue, Longview, Washington, 98632-2799",46.139277,-122.961864,Cowlitz,
Ordway Elementary School,Education Pod,,High,Elementary School,"8555 Madison Ave NE, Bainbridge Island, Washington, 98110-2915",47.639687,-122.522113,Kitsap,
Ordway Elementary School,K-4 Building,,High,Elementary School,"8555 Madison Ave NE, Bainbridge Island, Washington, 98110-2915",47.639687,-122.522113,Kitsap,
Ordway Elementary School,Main Building,1978,High,Elementary School,"8555 Madison Ave NE, Bainbridge Island, Washington, 98110-2915",47.639687,-122.522113,Kitsap,
Oroville Elementary School,Main Building,,Moderate,Elementary School,"808 Main, Oroville, Washington, 98844-9519",48.931979,-119.437411,Okanogan,
Orting Primary School,Main Building,,High,Elementary School,"316 Washington Avenue North, Orting, Washington, 98360-8404",47.100507,-122.20777,Pierce,
Outlook Elementary School,Outlook Elementary Main,,High,Elementary School,"3800 VanBelle Road, Outlook, Washington, 98938-9723",46.345354,-120.096727,Yakima,
Pacific Beach Elementary School,Gym/Lunchroom,,Very High,Elementary School,"11 Fourth Street, Pacific Beach, Washington, 98571-0000",47.20843,-124.199848,Grays Harbor,
Pacific Beach Elementary School,Main Building,,High,Elementary School,"11 Fourth Street, Pacific Beach, Washington, 98571-0000",47.20843,-124.199848,Grays Harbor,
Pacific Beach Elementary School,Quad Building,,High,Elementary School,"11 Fourth Street, Pacific Beach, Washington, 98571-0000",47.20843,-124.199848,Grays Harbor,
Palisades Elementary School,Main Building,,Very High,Elementary School,"1114 Palisades Rd, Palisades, Washington, 98845-9606",47.416391,-119.916131,Douglas,
Palisades Elementary School,Grange Hall,,High,Elementary School,"1114 Palisades Rd, Palisades, Washington, 98845-9606",47.416391,-119.916131,Douglas,
Parkway School ,Main Building,1947,Moderate,Elementary School,"1011 PARKWAY BLVD, EPHRATA, Washington, 98823-0000",47.312508,-119.560861,Grant,
Pateros K-12 School,Main Building,,High,Elementary School,"344 W BEACH ST., PATEROS, Washington, 98846-0000",48.051914,-119.906545,Okanogan,
Pateros K-12 School,Metal Shop,,High,Other,"344 W BEACH ST, PATEROS, Washington, 98846-0098",48.05190809,-119.9065304,Okanogan,
Pateros K-12 School,Music Building,,High,PK-12,"344 W Beach Street, Pateros, Washington, 98846",48.05190809,-119.9065304,Okanogan,
Pateros K-12 School,Wood Shop,,Lower,PK-12,"344 W Beach Street, Pateros, Washington, 98846",48.05190809,-119.9065304,Okanogan,
Paterson Elementary School,Main Building,,Moderate,Other,"51409 W. Prior Rd., Paterson, Washington, 99345-0189",45.938602,-119.609172,Benton,
Pe Ell School,Main Building,,Very High,PK-12,"519 N. 2nd Street, Pe Ell, Washington, 98572-0000",46.574963,-123.299218,Lewis,
Pe Ell School,Fitness Center,,Moderate,PK-12,"519 N. 2nd Street, Pe Ell, Washington, 98572-0000",46.574963,-123.299218,Lewis,
Peninsula High School,Main Building (100,,Very High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,500 Building,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,600 Building,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,900 Building - Pool Building,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,700 Building - Voc Ag,,Moderate,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School ,800 Building - Auditorium,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Pinecrest Elementary,Gymnasium,,Lower,Elementary School,"5530 PINE RD NE, BREMERTON, Washington, 98311-3132",47.613211,-122.636577,Kitsap,
Pinecrest Elementary,Main,1998,Lower,Elementary School,"5530 PINE RD NE, BREMERTON, Washington, 98311-3132",47.613211,-122.636577,Kitsap,
Pinewood Elementary School,Bldg E,,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Bldg L (Library),,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Bldg M (Gym),,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Building A,,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Building D,,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Point Defiance Elementary School,Main Building,,High,Elementary School,"4330 N Visscher St, Tacoma, Washington, 98407-0000",47.289355,-122.518276,Pierce,
Port Townsend High School,Gym,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Port Townsend High School,Main Building,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Port Townsend High School,Math Science Annex,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Port Townsend High School,Stuart Building,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Prairie High School,600 Building,,High,High School,"11311 NE 119th St, BRUSH PRAIRIE, Washington, 98662-0000",45.704823,-122.554921,Clark,
Prairie High School,400 Building,,Lower,High School,"11311 NE 119th St, BRUSH PRAIRIE, Washington, 98662-0000",45.704823,-122.554921,Clark,
Puyallup High School,Main Building,,Very High,High School,"105 Seventh St SW, Puyallup, Washington, 98371-5333",47.191228,-122.301904,Pierce,
Puyallup High School,Library Science Building,,High,High School,"105 Seventh St SW, Puyallup, Washington, 98371-5333",47.191228,-122.301904,Pierce,
Puyallup High School ,Gymnasium and Swimming,,High,High School,"105 Seventh St SW, Puyallup, Washington, 98371-5333",47.191228,-122.301904,Pierce,
Quil Ceda Tulalip Elementary School,Main Building,,Lower,Elementary School,"2415 74th St NE, Tulalip, Washington, 98271",48.06404975,-122.1986146,Snohomish,
Quilcene High And Elementary School,Elementary,,Very High,PK-12,"294715 Highway 101, Quilcene, Washington, 98376-0040",47.823619,-122.874753,Jefferson,
Quilcene High And Elementary School,High School,,Very High,PK-12,"294715 Highway 101, Quilcene, Washington, 98376-0040",47.823619,-122.874753,Jefferson,
Quilcene High And Elementary School,Middle School,,High,PK-12,"294715 Highway 101, Quilcene, Washington, 98376-0040",47.823619,-122.874753,Jefferson,
R. A. Long High School,Gym,,Very High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,Main Building,,Very High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,Shop Bldg,,Very High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,RA Long Annex,,High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,Science Wing,,High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
